ELM: operator=claude model=claude-sonnet-4-6
  fitness=dense measures=cl_ind archive=8x8 n_actions=120 ticks/action=100
  base_seed=42 n_evals=3 (avg over rolls); sandbox=on (15.0s)
  logging every generation -> results/elm_clind_ambition_generations.jsonl
  seed clind_champ fitness=  2623.0 cityPop= 2613 cell=(5, 0, 2) rolls=[2569.7, 2409.7, 2889.7] +
  killing fully open-loop genomes: max(cf, divergence) <= 0.0
it    3 [mutat] + fit=   810.8 pop=  800 m=(1.00,0.23,0.17) cell=(7, 1, 1) | filled=2 best_pop=2613 best_fit=2623
it    1 [mutat] + fit=     4.0 pop=    0 m=(0.02,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=2613 best_fit=2623
it    2 [mutat] + fit=     3.4 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=4 best_pop=2613 best_fit=2623
it    4 [cross] + fit=     4.4 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=4 best_pop=2613 best_fit=2623
it    5 [mutat]   fit=     2.3 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=4 best_pop=2613 best_fit=2623
it    6 [mutat] invalid: init() is 36 lines; keep it <= 30 (~20 lines)
it    7 [cross] + fit=     3.9 pop=    0 m=(1.00,0.00,0.25) cell=(7, 0, 2) | filled=5 best_pop=2613 best_fit=2623
it    8 [cross] + fit=     4.6 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=5 best_pop=2613 best_fit=2623
it    9 [mutat] KILLED open-loop: cf=0.00 div=0.00 pop=0
it   10 [cross] + fit=     4.2 pop=    0 m=(0.36,0.00,0.00) cell=(2, 0, 0) | filled=6 best_pop=2613 best_fit=2623
it   11 [mutat] + fit=     6.9 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=6 best_pop=2613 best_fit=2623
it   12 [mutat]   fit=     6.7 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=6 best_pop=2613 best_fit=2623
it   14 [cross]   fit=     4.6 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=6 best_pop=2613 best_fit=2623
it   13 [mutat] + fit=     8.1 pop=    0 m=(1.00,0.00,0.29) cell=(7, 0, 2) | filled=6 best_pop=2613 best_fit=2623
it   15 [mutat] + fit=     7.9 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=6 best_pop=2613 best_fit=2623
it   16 [mutat] + fit=     3.1 pop=    0 m=(0.44,0.00,0.00) cell=(3, 0, 0) | filled=7 best_pop=2613 best_fit=2623
it   17 [mutat]   fit=     7.9 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=7 best_pop=2613 best_fit=2623
it   18 [mutat]   fit=     6.9 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=7 best_pop=2613 best_fit=2623
it   19 [mutat] + fit=   815.2 pop=  800 m=(1.00,0.49,0.28) cell=(7, 3, 2) | filled=8 best_pop=2613 best_fit=2623
it   20 [cross]   fit=     6.9 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=8 best_pop=2613 best_fit=2623
it   21 [cross]   fit=     4.5 pop=    0 m=(0.98,0.00,0.00) cell=(7, 0, 0) | filled=8 best_pop=2613 best_fit=2623
it   22 [cross]   fit=     6.8 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=8 best_pop=2613 best_fit=2623
it   23 [cross] + fit=    10.3 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=8 best_pop=2613 best_fit=2623
it   24 [cross] + fit=   282.1 pop=  267 m=(1.00,0.30,0.20) cell=(7, 2, 2) | filled=9 best_pop=2613 best_fit=2623
it   25 [mutat] + fit=     3.2 pop=    0 m=(0.56,0.00,0.00) cell=(4, 0, 0) | filled=10 best_pop=2613 best_fit=2623
it   26 [mutat] + fit=    11.4 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=10 best_pop=2613 best_fit=2623
it   28 [mutat]   fit=     4.1 pop=    0 m=(0.26,0.00,0.00) cell=(2, 0, 0) | filled=10 best_pop=2613 best_fit=2623
it   27 [mutat]   fit=     4.5 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=10 best_pop=2613 best_fit=2623
it   29 [mutat] + fit=   917.2 pop=  907 m=(1.00,0.29,0.32) cell=(7, 2, 3) | filled=11 best_pop=2613 best_fit=2623
it   31 [mutat]   fit=     4.3 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=11 best_pop=2613 best_fit=2623
it   30 [mutat] + fit=     5.2 pop=    0 m=(0.04,0.00,0.00) cell=(0, 0, 0) | filled=11 best_pop=2613 best_fit=2623
it   32 [mutat]   fit=     5.8 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=11 best_pop=2613 best_fit=2623
it   33 [mutat]   fit=     3.4 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=11 best_pop=2613 best_fit=2623
it   34 [cross]   fit=     3.4 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=11 best_pop=2613 best_fit=2623
it   35 [mutat]   fit=     2.5 pop=    0 m=(0.05,0.00,0.00) cell=(0, 0, 0) | filled=11 best_pop=2613 best_fit=2623
it   36 [mutat]   fit=     6.9 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=11 best_pop=2613 best_fit=2623
it   37 [cross]   fit=    11.3 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=11 best_pop=2613 best_fit=2623
it   38 [mutat] KILLED open-loop: cf=0.00 div=0.00 pop=0
it   39 [mutat]   fit=     3.4 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=11 best_pop=2613 best_fit=2623
it   40 [mutat] + fit=    11.5 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=11 best_pop=2613 best_fit=2623
it   41 [mutat] + fit=   869.4 pop=  847 m=(1.00,0.60,0.28) cell=(7, 4, 2) | filled=12 best_pop=2613 best_fit=2623
it   42 [mutat] + fit=   226.0 pop=  213 m=(1.00,0.00,0.24) cell=(7, 0, 2) | filled=12 best_pop=2613 best_fit=2623
it   44 [mutat]   fit=     6.9 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=2613 best_fit=2623
it   43 [mutat]   fit=     3.4 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=2613 best_fit=2623
it   45 [cross] KILLED open-loop: cf=0.00 div=0.00 pop=0
it   46 [mutat]   fit=     5.6 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=2613 best_fit=2623
it   47 [mutat] + fit=    25.3 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=2613 best_fit=2623
it   48 [mutat] + fit=     6.3 pop=    0 m=(0.08,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=2613 best_fit=2623
it   50 [mutat]   fit=     2.3 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=2613 best_fit=2623
it   49 [cross]   fit=     5.6 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=2613 best_fit=2623
it   51 [mutat]   fit=     5.8 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=2613 best_fit=2623
