ELM: operator=claude model=claude-sonnet-4-6
  fitness=dense measures=cl_ind archive=10x10 n_actions=120 ticks/action=100
  base_seed=42 n_evals=3 (avg over rolls); sandbox=on (25.0s)
  logging every generation -> results/elm_clind_fine_generations.jsonl
  seed plan    fitness=   320.4 cityPop=  313 cell=(0, 0, 0) rolls=[407.1, 307.1, 247.1] +
  seed reactive fitness=   225.0 cityPop=  220 cell=(6, 5, 0) rolls=[305.0, 185.0, 185.0] +
it    4 [mutat]   fit=     2.1 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=2 best_pop=313 best_fit=320
it    5 [cross] + fit=   645.5 pop=  633 m=(0.22,0.20,0.00) cell=(2, 1, 0) | filled=3 best_pop=633 best_fit=646
it    2 [cross] + fit=   402.2 pop=  393 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=633 best_fit=646
it    3 [mutat]   fit=     3.5 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=633 best_fit=646
it    6 [mutat]   fit=     0.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=633 best_fit=646
it    1 [mutat]   fit=     0.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=633 best_fit=646
it    7 [mutat] + fit=   389.9 pop=  380 m=(0.00,0.00,0.21) cell=(0, 0, 2) | filled=4 best_pop=633 best_fit=646
it    9 [cross] + fit=   716.3 pop=  700 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=4 best_pop=700 best_fit=716
it   10 [mutat]   fit=     3.5 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=4 best_pop=700 best_fit=716
it   11 [mutat]   fit=     2.1 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=4 best_pop=700 best_fit=716
it    8 [mutat]   fit=     1.2 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=4 best_pop=700 best_fit=716
it   14 [mutat]   fit=     3.5 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=4 best_pop=700 best_fit=716
it   13 [cross]   fit=   355.4 pop=  347 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=4 best_pop=700 best_fit=716
it   12 [mutat]   fit=     0.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=4 best_pop=700 best_fit=716
it   15 [mutat]   fit=     1.2 pop=    0 m=(0.03,0.00,0.00) cell=(0, 0, 0) | filled=4 best_pop=700 best_fit=716
it   18 [cross] + fit=   789.5 pop=  773 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=4 best_pop=773 best_fit=789
it   19 [mutat]   fit=    11.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=4 best_pop=773 best_fit=789
it   16 [mutat]   fit=     5.5 pop=    0 m=(0.00,0.00,0.23) cell=(0, 0, 2) | filled=4 best_pop=773 best_fit=789
