ELM: operator=claude model=claude-sonnet-4-6
  fitness=dense measures=cl_ind archive=8x8 n_actions=120 ticks/action=100
  base_seed=42 n_evals=5 (avg over rolls); sandbox=on (25.0s)
  logging every generation -> results/elm_clind_long_generations.jsonl
  seed plan    fitness=   343.1 cityPop=  336 cell=(0, 0, 0) rolls=[407.1, 307.1, 247.1, 407.1, 347.1] +
  seed reactive fitness=   221.0 cityPop=  216 cell=(5, 4, 0) rolls=[305.0, 185.0, 185.0, 205.0, 225.0] +
it    4 [mutat]   fit=   203.3 pop=  196 m=(0.00,0.00,0.08) cell=(0, 0, 0) | filled=2 best_pop=336 best_fit=343
it    2 [cross] + fit=   432.6 pop=  420 m=(0.00,0.00,0.10) cell=(0, 0, 1) | filled=3 best_pop=420 best_fit=433
it    5 [cross] + fit=   408.8 pop=  400 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=420 best_fit=433
it    7 [mutat] + fit=   116.6 pop=  108 m=(0.00,0.00,0.27) cell=(0, 0, 2) | filled=4 best_pop=420 best_fit=433
it    3 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=4 best_pop=420 best_fit=433
it    6 [mutat]   fit=     0.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=4 best_pop=420 best_fit=433
it    9 [cross]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=4 best_pop=420 best_fit=433
it    1 [mutat]   fit=     0.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=4 best_pop=420 best_fit=433
it   11 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=4 best_pop=420 best_fit=433
it   10 [mutat]   fit=     4.5 pop=    0 m=(0.00,0.00,0.29) cell=(0, 0, 2) | filled=4 best_pop=420 best_fit=433
it    8 [mutat]   fit=     0.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=4 best_pop=420 best_fit=433
it   14 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=4 best_pop=420 best_fit=433
it   13 [cross]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=4 best_pop=420 best_fit=433
it   17 [mutat] + fit=     1.6 pop=    0 m=(0.43,0.00,0.00) cell=(3, 0, 0) | filled=5 best_pop=420 best_fit=433
it   16 [mutat]   fit=     2.8 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=420 best_fit=433
it   12 [mutat]   fit=     0.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=420 best_fit=433
