ELM: operator=claude model=claude-sonnet-4-6
  fitness=dense measures=cl_ind archive=8x8 n_actions=120 ticks/action=100
  base_seed=42 n_evals=5 (avg over rolls); sandbox=on (25.0s)
  logging every generation -> results/elm_clind_sonnet_generations.jsonl
  seed plan    fitness=   343.1 cityPop=  336 cell=(0, 0, 0) rolls=[407.1, 307.1, 247.1, 407.1, 347.1] +
it    3 [mutat] + fit=    88.7 pop=   80 m=(0.00,0.00,0.31) cell=(0, 0, 3) | filled=2 best_pop=336 best_fit=343
it    5 [mutat] + fit=   165.9 pop=  156 m=(0.00,0.00,0.32) cell=(0, 0, 3) | filled=2 best_pop=336 best_fit=343
it    2 [mutat]   fit=     2.1 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=2 best_pop=336 best_fit=343
it    6 [mutat]   fit=   163.2 pop=  152 m=(0.00,0.00,0.32) cell=(0, 0, 3) | filled=2 best_pop=336 best_fit=343
it    1 [mutat]   fit=   186.8 pop=  180 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=2 best_pop=336 best_fit=343
it    4 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=2 best_pop=336 best_fit=343
it    8 [cross]   fit=     4.2 pop=    0 m=(0.00,0.00,0.36) cell=(0, 0, 3) | filled=2 best_pop=336 best_fit=343
it    9 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=2 best_pop=336 best_fit=343
it    7 [mutat]   fit=     4.5 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=2 best_pop=336 best_fit=343
it   12 [mutat]   fit=    10.1 pop=    0 m=(0.00,0.00,0.30) cell=(0, 0, 3) | filled=2 best_pop=336 best_fit=343
it   11 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=2 best_pop=336 best_fit=343
it   10 [mutat]   fit=     2.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=2 best_pop=336 best_fit=343
it   15 [cross] + fit=    40.5 pop=   32 m=(0.00,0.00,0.27) cell=(0, 0, 2) | filled=3 best_pop=336 best_fit=343
it   14 [cross]   fit=    40.5 pop=   32 m=(0.00,0.00,0.27) cell=(0, 0, 2) | filled=3 best_pop=336 best_fit=343
it   13 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=336 best_fit=343
it   16 [cross]   fit=    40.5 pop=   32 m=(0.00,0.00,0.27) cell=(0, 0, 2) | filled=3 best_pop=336 best_fit=343
it   17 [mutat]   fit=     6.0 pop=    0 m=(0.00,0.00,0.25) cell=(0, 0, 2) | filled=3 best_pop=336 best_fit=343
it   18 [mutat]   fit=     4.1 pop=    0 m=(0.00,0.00,0.33) cell=(0, 0, 3) | filled=3 best_pop=336 best_fit=343
it   19 [cross] + fit=   360.5 pop=  352 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=352 best_fit=361
it   21 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=352 best_fit=361
it   22 [mutat]   fit=     2.1 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=352 best_fit=361
it   20 [mutat]   fit=     2.1 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=352 best_fit=361
it   23 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=352 best_fit=361
it   24 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=352 best_fit=361
it   25 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=352 best_fit=361
it   27 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=352 best_fit=361
it   26 [cross] + fit=   368.5 pop=  360 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=360 best_fit=369
it   28 [mutat]   fit=     3.5 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=360 best_fit=369
it   29 [mutat]   fit=     3.5 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=360 best_fit=369
it   30 [mutat]   fit=     3.5 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=360 best_fit=369
it   31 [mutat]   fit=     3.4 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=360 best_fit=369
it   35 [cross]   fit=    73.9 pop=   64 m=(0.00,0.00,0.32) cell=(0, 0, 3) | filled=3 best_pop=360 best_fit=369
it   32 [mutat]   fit=     3.4 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=360 best_fit=369
it   33 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=360 best_fit=369
it   34 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=360 best_fit=369
it   36 [mutat]   fit=     3.5 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=360 best_fit=369
it   39 [cross]   fit=    45.9 pop=   36 m=(0.00,0.00,0.32) cell=(0, 0, 3) | filled=3 best_pop=360 best_fit=369
it   38 [mutat]   fit=     5.7 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=360 best_fit=369
it   40 [mutat]   fit=     5.7 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=360 best_fit=369
it   41 [mutat]   fit=     3.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=360 best_fit=369
it   44 [mutat]   fit=    11.3 pop=    0 m=(0.00,0.00,0.33) cell=(0, 0, 3) | filled=3 best_pop=360 best_fit=369
it   37 [mutat]   fit=     1.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=360 best_fit=369
it   42 [cross]   fit=   364.5 pop=  356 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=360 best_fit=369
it   43 [cross]   fit=   368.5 pop=  360 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=360 best_fit=369
it   45 [mutat]   fit=   119.2 pop=  112 m=(0.00,0.00,0.09) cell=(0, 0, 0) | filled=3 best_pop=360 best_fit=369
it   47 [mutat] + fit=  1152.8 pop= 1132 m=(0.00,0.00,0.30) cell=(0, 0, 3) | filled=3 best_pop=1132 best_fit=1153
it   49 [mutat]   fit=     2.9 pop=    0 m=(0.00,0.00,0.25) cell=(0, 0, 2) | filled=3 best_pop=1132 best_fit=1153
it   46 [mutat]   fit=     3.4 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=1132 best_fit=1153
it   50 [mutat]   fit=     3.5 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=1132 best_fit=1153
it   48 [mutat]   fit=     1.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=1132 best_fit=1153
it   51 [mutat]   fit=     3.5 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=1132 best_fit=1153
it   52 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=1132 best_fit=1153
it   53 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=1132 best_fit=1153
it   54 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=1132 best_fit=1153
it   55 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=1132 best_fit=1153
it   56 [mutat]   fit=     2.1 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=1132 best_fit=1153
it   58 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=1132 best_fit=1153
it   57 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=1132 best_fit=1153
it   61 [mutat]   fit=     7.0 pop=    0 m=(0.00,0.00,0.33) cell=(0, 0, 3) | filled=3 best_pop=1132 best_fit=1153
it   59 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=1132 best_fit=1153
ELM: operator=claude model=claude-sonnet-4-6
  fitness=dense measures=cl_ind archive=8x8 n_actions=120 ticks/action=100
  base_seed=42 n_evals=3 (avg over rolls); sandbox=on (25.0s)
  logging every generation -> results/elm_clind_sonnet_generations.jsonl
  RESUMED from results/elm_clind_sonnet.npz: 3 elites, best_pop=1132, continuing at iter 62
it   64 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=1132 best_fit=1153
it   62 [mutat]   fit=     2.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=1132 best_fit=1153
it   63 [cross] + fit=   375.2 pop=  367 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=1132 best_fit=1153
it   65 [mutat]   fit=    12.6 pop=    0 m=(0.00,0.00,0.23) cell=(0, 0, 2) | filled=3 best_pop=1132 best_fit=1153
it   66 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=1132 best_fit=1153
it   67 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=1132 best_fit=1153
it   68 [mutat]   fit=     3.5 pop=    0 m=(0.00,0.00,0.25) cell=(0, 0, 2) | filled=3 best_pop=1132 best_fit=1153
it   70 [cross]   fit=     2.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=1132 best_fit=1153
it   69 [mutat]   fit=     1.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=1132 best_fit=1153
it   72 [mutat]   fit=     5.8 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=1132 best_fit=1153
it   71 [mutat]   fit=     5.8 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=1132 best_fit=1153
it   73 [mutat]   fit=     8.1 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=1132 best_fit=1153
it   75 [mutat] + fit=   379.1 pop=  367 m=(0.00,0.00,0.25) cell=(0, 0, 2) | filled=3 best_pop=1132 best_fit=1153
it   76 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=1132 best_fit=1153
it   74 [cross]   fit=   375.2 pop=  367 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=1132 best_fit=1153
it   77 [mutat]   fit=    68.6 pop=   53 m=(0.00,0.00,0.29) cell=(0, 0, 2) | filled=3 best_pop=1132 best_fit=1153
it   78 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=1132 best_fit=1153
it   79 [mutat]   fit=     2.1 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=1132 best_fit=1153
it   80 [mutat]   fit=     3.5 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=1132 best_fit=1153
it   81 [cross] + fit=  1160.8 pop= 1140 m=(0.00,0.00,0.30) cell=(0, 0, 3) | filled=3 best_pop=1140 best_fit=1161
it   82 [mutat]   fit=     6.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=1140 best_fit=1161
it   83 [mutat]   fit=     4.7 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=1140 best_fit=1161
it   86 [mutat]   fit=     2.4 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=1140 best_fit=1161
