ELM: operator=claude model=claude-sonnet-4-6
  fitness=dense measures=res_ind archive=20x20 n_actions=120 ticks/action=100
  base_seed=42 n_evals=5 (avg over rolls); sandbox=on (15.0s)
  logging every generation -> results/elm_diverse_overnight_generations.jsonl
  seed reactive fitness=   282.4 cityPop=  276 cell=(19, 0) rolls=[326.4, 346.4, 246.4, 246.4, 246.4] +
  seed plan    fitness=   335.1 cityPop=  328 cell=(19, 0) rolls=[387.1, 367.1, 267.1, 367.1, 287.1] +
  seed industrial fitness=    71.1 cityPop=   64 cell=(0, 19) rolls=[167.1, 7.1, 7.1, 167.1, 7.1] +
  seed commercial fitness=     7.1 cityPop=    0 cell=(0, 0) rolls=[7.1, 7.1, 7.1, 7.1, 7.1] +
  seed mixed   fitness=   219.1 cityPop=  212 cell=(7, 6) rolls=[7.1, 167.1, 327.1, 347.1, 247.1] +
  seed res_ind fitness=   263.1 cityPop=  256 cell=(10, 10) rolls=[247.1, 207.1, 327.1, 287.1, 247.1] +
  seed res_heavy fitness=   247.1 cityPop=  240 cell=(15, 5) rolls=[287.1, 167.1, 187.1, 327.1, 267.1] +
  seed twin    fitness=   171.2 cityPop=  160 cell=(10, 9) rolls=[411.2, 411.2, 11.2, 11.2, 11.2] +
it    1 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=7 best_pop=328 best_fit=335
it    2 [cross] + fit=   536.7 pop=  528 m=(0.50,0.25) cell=(10, 4) | filled=8 best_pop=528 best_fit=537
it    3 [mutat] + fit=   745.6 pop=  712 m=(0.54,0.18) cell=(10, 3) | filled=9 best_pop=712 best_fit=746
it    4 [mutat] + fit=   426.4 pop=  408 m=(0.36,0.14) cell=(7, 2) | filled=10 best_pop=712 best_fit=746
it    5 [mutat]   fit=     3.4 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=10 best_pop=712 best_fit=746
it    6 [mutat]   fit=   456.4 pop=  448 m=(0.50,0.19) cell=(10, 3) | filled=10 best_pop=712 best_fit=746
it    7 [mutat]   fit=     3.4 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=10 best_pop=712 best_fit=746
it    8 [mutat] + fit=   390.0 pop=  380 m=(0.60,0.20) cell=(12, 4) | filled=11 best_pop=712 best_fit=746
it    9 [cross] + fit=  1514.5 pop= 1496 m=(0.50,0.18) cell=(10, 3) | filled=11 best_pop=1496 best_fit=1514
it   10 [mutat]   fit=    48.7 pop=   40 m=(0.38,0.31) cell=(7, 6) | filled=11 best_pop=1496 best_fit=1514
it   11 [mutat]   fit=     2.1 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=11 best_pop=1496 best_fit=1514
it   12 [mutat] + fit=   785.1 pop=  756 m=(0.33,0.33) cell=(6, 6) | filled=12 best_pop=1496 best_fit=1514
it   13 [cross]   fit=     3.3 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=12 best_pop=1496 best_fit=1514
it   14 [mutat] + fit=   273.1 pop=  256 m=(0.43,0.14) cell=(8, 2) | filled=13 best_pop=1496 best_fit=1514
it   15 [mutat] + fit=     2.7 pop=    0 m=(0.29,0.29) cell=(5, 5) | filled=14 best_pop=1496 best_fit=1514
it   16 [mutat] + fit=   671.1 pop=  648 m=(0.30,0.30) cell=(6, 5) | filled=15 best_pop=1496 best_fit=1514
it   17 [mutat]   fit=   631.2 pop=  624 m=(0.50,0.16) cell=(10, 3) | filled=15 best_pop=1496 best_fit=1514
it   18 [mutat] + fit=    11.1 pop=    0 m=(0.44,0.24) cell=(8, 4) | filled=16 best_pop=1496 best_fit=1514
it   19 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=16 best_pop=1496 best_fit=1514
it   20 [cross] + fit=     4.3 pop=    0 m=(0.50,0.08) cell=(10, 1) | filled=17 best_pop=1496 best_fit=1514
it   21 [mutat]   fit=     3.4 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=17 best_pop=1496 best_fit=1514
it   22 [mutat] + fit=   167.8 pop=  152 m=(0.39,0.28) cell=(7, 5) | filled=18 best_pop=1496 best_fit=1514
it   23 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=18 best_pop=1496 best_fit=1514
it   24 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=18 best_pop=1496 best_fit=1514
it   25 [mutat] + fit=   209.4 pop=  196 m=(0.29,0.29) cell=(5, 5) | filled=18 best_pop=1496 best_fit=1514
it   26 [mutat] + fit=   148.7 pop=  140 m=(0.44,0.25) cell=(8, 5) | filled=19 best_pop=1496 best_fit=1514
it   27 [mutat]   fit=     3.4 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=19 best_pop=1496 best_fit=1514
it   28 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=19 best_pop=1496 best_fit=1514
it   29 [cross]   fit=     2.2 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=19 best_pop=1496 best_fit=1514
it   30 [mutat]   fit=   100.5 pop=   92 m=(0.33,0.27) cell=(6, 5) | filled=19 best_pop=1496 best_fit=1514
it   31 [mutat]   fit=     3.4 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=19 best_pop=1496 best_fit=1514
it   32 [mutat] + fit=   335.9 pop=  316 m=(0.40,0.30) cell=(8, 5) | filled=19 best_pop=1496 best_fit=1514
it   33 [cross]   fit=     2.0 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=19 best_pop=1496 best_fit=1514
it   34 [mutat]   fit=     3.4 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=19 best_pop=1496 best_fit=1514
it   35 [mutat]   fit=     3.4 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=19 best_pop=1496 best_fit=1514
it   36 [cross]   fit=    40.7 pop=   32 m=(0.38,0.31) cell=(7, 6) | filled=19 best_pop=1496 best_fit=1514
it   37 [cross]   fit=   393.8 pop=  380 m=(0.33,0.33) cell=(6, 6) | filled=19 best_pop=1496 best_fit=1514
it   38 [cross]   fit=   166.9 pop=  160 m=(0.43,0.29) cell=(8, 5) | filled=19 best_pop=1496 best_fit=1514
it   39 [cross] + fit=   299.0 pop=  288 m=(0.43,0.14) cell=(8, 2) | filled=19 best_pop=1496 best_fit=1514
it   40 [cross] + fit=     4.2 pop=    0 m=(0.57,0.14) cell=(11, 2) | filled=20 best_pop=1496 best_fit=1514
it   41 [mutat] + fit=   160.6 pop=  148 m=(0.39,0.22) cell=(7, 4) | filled=21 best_pop=1496 best_fit=1514
it   42 [mutat] + fit=     6.3 pop=    0 m=(0.57,0.14) cell=(11, 2) | filled=21 best_pop=1496 best_fit=1514
it   43 [mutat]   fit=     3.8 pop=    0 m=(0.33,0.33) cell=(6, 6) | filled=21 best_pop=1496 best_fit=1514
it   44 [mutat] + fit=  1876.5 pop= 1860 m=(0.44,0.18) cell=(8, 3) | filled=22 best_pop=1860 best_fit=1876
it   45 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=22 best_pop=1860 best_fit=1876
